speaker_id,pair_type,clone_id,real_id,impostor_speaker_id,system_id,prompt_style_id,sentence_id,temperature,top_p,top_k,wavlm_sim,mfcc_sim,pitch_sim,wer,clone_path,real_path,timestamp
211,RR,,,,S1,,,1.0,0.95,50,0.9049339890480042,0.999605805335086,0.9474558103684659,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_01.wav,2025-10-25T20:40:44.849899
211,CR,C1,R1,,S1,P1,1,1.0,0.95,50,0.8981137871742249,0.9982354948274184,0.9274935646863977,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_08.wav,2025-10-25T20:40:45.523892
211,CR,C1,R2,,S1,P1,1,1.0,0.95,50,0.8766806125640869,0.9974893721466889,0.9899379397068012,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_01.wav,2025-10-25T20:40:45.524237
211,CR,C1,R3,,S1,P1,1,1.0,0.95,50,0.8676181435585022,0.9976237171800353,0.9836570616652661,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_07.wav,2025-10-25T20:40:45.524514
211,CI,C1,,impostors,S1,P1,1,1.0,0.95,50,0.8756310343742371,0.9931788089305142,0.7735644541240001,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_04.wav,2025-10-25T20:40:46.935341
211,CI,C1,,impostors,S1,P1,1,1.0,0.95,50,0.8674734234809875,0.9970293866227051,0.5836488662581532,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_00.wav,2025-10-25T20:40:48.999993
211,CI,C1,,impostors,S1,P1,1,1.0,0.95,50,0.8687796592712402,0.994060088432875,0.80059112001642,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_03.wav,2025-10-25T20:40:51.027609
211,CI,C1,,impostors,S1,P1,1,1.0,0.95,50,0.8582574725151062,0.9950480849642235,0.8310226809133207,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_05.wav,2025-10-25T20:40:52.849479
211,CI,C1,,impostors,S1,P1,1,1.0,0.95,50,0.8305010795593262,0.9945034008127391,0.5807409443267624,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_02.wav,2025-10-25T20:40:54.126308
211,CI,C1,,impostors,S1,P1,1,1.0,0.95,50,0.7468189001083374,0.9850814118551775,0.6274980587489434,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_00.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_01.wav,2025-10-25T20:40:54.427187
211,CR,C2,R1,,S1,P1,2,1.0,0.95,50,0.9115455150604248,0.9977942343021252,0.9021229124535435,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_02.wav,2025-10-25T20:40:54.797197
211,CR,C2,R2,,S1,P1,2,1.0,0.95,50,0.8948261141777039,0.9983391400165444,0.9300272455930825,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_08.wav,2025-10-25T20:40:54.797614
211,CR,C2,R3,,S1,P1,2,1.0,0.95,50,0.9195882081985474,0.9975644301817708,0.9586407315067437,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_00.wav,2025-10-25T20:40:54.797899
211,CI,C2,,impostors,S1,P1,2,1.0,0.95,50,0.8497630953788757,0.9947867824001909,0.7984100630157152,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_03.wav,2025-10-25T20:40:54.798210
211,CI,C2,,impostors,S1,P1,2,1.0,0.95,50,0.8937123417854309,0.9944246949381953,0.7714570260924114,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_04.wav,2025-10-25T20:40:54.798503
211,CI,C2,,impostors,S1,P1,2,1.0,0.95,50,0.7576646208763123,0.9847361475493567,0.6257885606047036,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_01.wav,2025-10-25T20:40:54.798774
211,CI,C2,,impostors,S1,P1,2,1.0,0.95,50,0.8532637357711792,0.9962705865662193,0.5820588268311861,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_00.wav,2025-10-25T20:40:54.799041
211,CI,C2,,impostors,S1,P1,2,1.0,0.95,50,0.8590097427368164,0.9962195539580508,0.8287587189599164,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_05.wav,2025-10-25T20:40:54.799325
211,CI,C2,,impostors,S1,P1,2,1.0,0.95,50,0.8475459814071655,0.9949025132722413,0.5791588269755309,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_01.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_02.wav,2025-10-25T20:40:54.799605
211,CR,C3,R1,,S1,P1,3,1.0,0.95,50,0.9013939499855042,0.9952108050186594,0.9740857234540784,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_05.wav,2025-10-25T20:40:55.400082
211,CR,C3,R2,,S1,P1,3,1.0,0.95,50,0.8731065988540649,0.9952636275535875,0.9562100208044516,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_06.wav,2025-10-25T20:40:55.400449
211,CR,C3,R3,,S1,P1,3,1.0,0.95,50,0.9116269946098328,0.9978743700715865,0.9350028945986905,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_03.wav,2025-10-25T20:40:55.400783
211,CI,C3,,impostors,S1,P1,3,1.0,0.95,50,0.9016715288162231,0.9929322193954377,0.5854713171728534,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_00.wav,2025-10-25T20:40:55.401095
211,CI,C3,,impostors,S1,P1,3,1.0,0.95,50,0.8834971785545349,0.99253103627315,0.8336175596709492,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_05.wav,2025-10-25T20:40:55.401358
211,CI,C3,,impostors,S1,P1,3,1.0,0.95,50,0.9114122986793518,0.9897446013704385,0.7759799188468843,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_04.wav,2025-10-25T20:40:55.401616
211,CI,C3,,impostors,S1,P1,3,1.0,0.95,50,0.8798879981040955,0.9902431563953491,0.8030909758429703,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_03.wav,2025-10-25T20:40:55.401887
